question,answer,computed_value,evidence,answer_only
Q1,C,median_gap=144.0 days,closest to 180 days,C
Q2,D,standard,highest average gross margin=0.3134,D
Q3,B,wrong_size,records=7626,B
Q4,C,email_campaign,average bounce_rate=0.004458,C
Q5,C,38.66%,closest to 39%,C
Q6,A,55+,avg_orders_per_customer=5.4069,A
Q7,C,east,"transaction-level revenue proxy = sum(quantity * unit_price); top=east, second=central, relative_gap=35.29%, line_revenue=7637532676.20",C
Q8,A,credit_card,cancelled_orders=28452,A
Q9,A,s,return_rate=0.056515,A
Q10,C,6 installments,avg_payment_value=24446.65,C
